contentId,Category,Type,Sentiment,score
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,disgust,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,dislike,negative,10
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,scared,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,disgust,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,interested,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,peeking,neutral,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,cherish,positive,70
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,hate,negative,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,peeking,neutral,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,love,positive,65
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,indifferent,neutral,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,scared,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,interested,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,hate,negative,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,scared,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,"super love",positive,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,peeking,neutral,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,indifferent,neutral,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,interested,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,intrigued,positive,45
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,peeking,neutral,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,worried,negative,12
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,like,positive,50
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,heart,positive,60
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,worried,negative,12
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,hate,negative,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,hate,negative,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,cherish,positive,70
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,"super love",positive,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,intrigued,positive,45
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,scared,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,interested,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,indifferent,neutral,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,"super love",positive,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,disgust,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,"super love",positive,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,interested,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,dislike,negative,10
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,scared,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,dislike,negative,10
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,want,positive,70
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,interested,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,indifferent,neutral,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,worried,negative,12
